web-scraper-order,web-scraper-start-url,cookies,cookies-href,category,category-href,recipe_link,recipe_link-href,ingredients,prep_time,cook_time,total_time,instructions,nutrition_facts,name,num_reviews,category_name,5star,4star,3star,2star,1star
"1520398422-115","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sugar Cookies","https://www.allrecipes.com/recipes/859/desserts/cookies/sugar-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10687/mrs-siggs-snickerdoodles/?internalSource=hub%20recipe&referringId=859&referringContentType=recipe%20hub","[{""ingredients"":""1/2 cup butter, softened""},{""ingredients"":""1/2 cup shortening""},{""ingredients"":""1 1/2 cups white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""2 teaspoons vanilla extract""},{""ingredients"":""2 3/4 cups all-purpose flour""},{""ingredients"":""2 teaspoons cream of tartar""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""2 tablespoons white sugar""},{""ingredients"":""2 teaspoons ground cinnamon""},{""ingredients"":""Add all ingredients to list""}]","20 m","10 m","1 h","[{""instructions"":""Preheat oven to 400 degrees F (200 degrees C).""},{""instructions"":""Cream together butter, shortening, 1 1/2 cups sugar, the eggs and the vanilla. Blend in the flour, cream of tartar, soda and salt. Shape dough by rounded spoonfuls into balls.""},{""instructions"":""Mix the 2 tablespoons sugar and the cinnamon. Roll balls of dough in mixture. Place 2 inches apart on ungreased baking sheets.""},{""instructions"":""Bake 8 to 10 minutes, or until set but not too hard. Remove immediately from baking sheets.""}]","","Mrs. Sigg's Snickerdoodles","5953","Sugar Cookie Recipes","4880","759","197","68","49"
"1520398818-277","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Peanut Butter Cookies","https://www.allrecipes.com/recipes/852/desserts/cookies/peanut-butter-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/11520/the-whole-jar-of-peanut-butter-cookies/?internalSource=hub%20recipe&referringId=852&referringContentType=recipe%20hub","[{""ingredients"":""1 cup butter, softened""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1 cup packed brown sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""1 egg yolk""},{""ingredients"":""2 teaspoons vanilla extract""},{""ingredients"":""1 (18 ounce) jar peanut butter""},{""ingredients"":""2 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1 cup chopped peanuts""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""In a large bowl, cream butter, white sugar, and brown sugar until smooth. Add the eggs, yolks, and vanilla; mix until fluffy. Stir in peanut butter. Sift together the flour, baking soda, and salt; stir into the peanut butter mixture. Finally, stir in the peanuts. Refrigerate the dough for at least 2 hours.""},{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). Lightly grease a cookie sheet.""},{""instructions"":""Roll dough into walnut sized balls. Place on the prepared cookie sheet and flatten slightly with a fork. Bake for 12 to 15 minutes in the preheated oven. Cookies should look dry on top. Allow to cool for a few minutes on the cookie sheet before removing to cool completely on a rack. These cookies taste great when slightly undercooked.""}]","","The Whole Jar of Peanut Butter Cookies","833","Peanut Butter Cookie Recipes","656","114","49","10","4"
"1520398351-87","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Whoopie Pies","https://www.allrecipes.com/recipes/16417/desserts/cookies/whoopie-pies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10562/whoopie-pies-iv/?internalSource=hub%20recipe&referringId=16417&referringContentType=recipe%20hub","[{""ingredients"":""2 cups white sugar""},{""ingredients"":""1/2 cup shortening""},{""ingredients"":""2 eggs""},{""ingredients"":""4 cups all-purpose flour""},{""ingredients"":""2 teaspoons baking soda""},{""ingredients"":""1/2 teaspoon baking powder""},{""ingredients"":""1 1/2 teaspoons salt""},{""ingredients"":""3/4 cup unsweetened cocoa powder""},{""ingredients"":""1 cup milk""},{""ingredients"":""1 cup boiling water""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1 cup shortening""},{""ingredients"":""1 cup white sugar""},{""ingredients"":""1/4 teaspoon salt""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""5 1/2 tablespoons all-purpose flour""},{""ingredients"":""1 cup milk""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat oven to 450 degrees F (230 degrees C).""},{""instructions"":""To Make Cookies:  Cream together 2 cups sugar, 1/2 cup shortening and 2 eggs.""},{""instructions"":""Sift together 4 cups flour, baking soda, baking powder, 1 1/2 teaspoons salt and cocoa. Add alternately the flour mixture to the creamed mixture with boiling water and 1 teaspoon vanilla.""},{""instructions"":""Drop teaspoons sized pieces of dough onto  greased cookie sheet.  Bake 5 to 7 minutes.""},{""instructions"":""To Make Filling:   Cook 5 1/2 tablespoons flour and 1 cup milk until thick. Let cool. Cream 1 cup shortening, 1 cup sugar, 1/4 teaspoon salt, and 1 teaspoon vanilla. Add cooled flour mixture. Beat till creamy.""},{""instructions"":""Spread on the flat side of a cooled cookie and sandwich together with another cookie.""}]","Per Serving: 
            421 calories;
                    19 g fat;
                    59.7 g carbohydrates;
                    5.4 g protein;
                    23 mg cholesterol;
                    400 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Whoopie Pies IV","20","Whoopie Pie Recipes","7","5","4","2","2"
"1520399406-508","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","International Cookies","https://www.allrecipes.com/recipes/845/desserts/cookies/international-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10220/pizzelles-iii/?internalSource=staff%20pick&referringId=845&referringContentType=recipe%20hub","[{""ingredients"":""3 eggs""},{""ingredients"":""3/4 cup white sugar""},{""ingredients"":""1/2 cup butter, melted""},{""ingredients"":""1 tablespoon vanilla extract""},{""ingredients"":""1 3/4 cups all-purpose flour""},{""ingredients"":""2 teaspoons baking powder""},{""ingredients"":""Add all ingredients to list""}]","15 m","35 m","50 m","[{""instructions"":""In a large bowl, beat eggs and sugar until thick. Stir in the melted butter and vanilla. Sift together the flour and baking powder, and blend into the batter until smooth.""},{""instructions"":""Heat the pizzelle iron, and brush with oil. Drop about one tablespoon of batter onto each circle on the iron. You may need to experiment with the amount of batter and baking time depending on the iron. Bake for 20 to 45 seconds, or until steam is no longer coming out of the iron. Carefully remove cookies from the iron. Cool completely before storing in an airtight container.""},{""instructions"":""For chocolate pizzelles, add 1/4 cup cocoa sifted together with flour and baking powder, 1/4 cup more sugar and 1/4 teaspoon more baking powder. I find that for the chocolate mixture, the iron must be well oiled to start and then brush on more as needed.""}]","Per Serving: 
            102 calories;
                    4.5 g fat;
                    13.4 g carbohydrates;
                    1.8 g protein;
                    33 mg cholesterol;
                    77 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Pizzelles III","144","International Cookie Recipes","107","26","7","1","3"
"1520399130-393","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","No-Bake Cookies","https://www.allrecipes.com/recipes/849/desserts/cookies/no-bake-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/241986/super-moist-no-bake-chocolate-and-oatmeal-cookies/?internalSource=staff%20pick&referringId=849&referringContentType=recipe%20hub","[{""ingredients"":""2 cups white sugar""},{""ingredients"":""1/2 cup milk""},{""ingredients"":""1/2 cup butter""},{""ingredients"":""4 teaspoons cocoa powder""},{""ingredients"":""1/2 cup creamy peanut butter""},{""ingredients"":""2 teaspoons pure vanilla extract""},{""ingredients"":""2 cups quick cooking oats""},{""ingredients"":""Add all ingredients to list""}]","10 m","2 m","27 m","[{""instructions"":""Stir sugar, milk, butter, and cocoa powder together in a saucepan over medium heat; bring to a boil and cook, stirring constantly, to dissolve sugar completely, 90 seconds to 2 minutes. Remove saucepan immediately from heat.""},{""instructions"":""Stir peanut butter and vanilla extract into the milk mixture until smooth; add oats and stir to coat. Spoon the mixture onto a sheet of baking parchment and let sit until the mixture holds together, about 15 minutes.""}]","Per Serving: 
            128 calories;
                    5.7 g fat;
                    18.2 g carbohydrates;
                    2 g protein;
                    8 mg cholesterol;
                    44 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Super-Moist No-Bake Chocolate and Oatmeal Cookies","16","No-Bake Cookie Recipes","11","4","0","1","0"
"1520398436-121","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Sugar Cookies","https://www.allrecipes.com/recipes/859/desserts/cookies/sugar-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/22850/chewy-sugar-cookies/?internalSource=staff%20pick&referringId=859&referringContentType=recipe%20hub","[{""ingredients"":""2 3/4 cups all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1 1/4 cups margarine""},{""ingredients"":""2 cups white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""2 teaspoons vanilla extract""},{""ingredients"":""1/4 cup white sugar for decoration""},{""ingredients"":""Add all ingredients to list""}]","10 m","15 m","25 m","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C). In a medium bowl, stir together the flour, baking soda, and salt; set aside.""},{""instructions"":""In a large bowl, cream together the margarine and 2 cups sugar until light and fluffy. Beat in the eggs one at a time, then the vanilla. Gradually stir in the dry ingredients until just blended. Roll the dough into walnut sized balls and roll the balls in remaining 1/4 cup of sugar. Place cookies 2 inches apart onto ungreased cookie sheets and flatten slightly.""},{""instructions"":""Bake for 8 to 10 minutes in the preheated oven, until lightly browned at the edges. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely.""}]","Per Serving: 
            172 calories;
                    7.9 g fat;
                    23.9 g carbohydrates;
                    1.7 g protein;
                    12 mg cholesterol;
                    173 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Chewy Sugar Cookies","1566","Sugar Cookie Recipes","1051","238","99","68","110"
"1520399287-457","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Macaroons","https://www.allrecipes.com/recipes/17019/desserts/cookies/macaroons/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/223233/french-macaroons/?internalSource=hub%20recipe&referringId=17019&referringContentType=recipe%20hub","[{""ingredients"":""3 egg whites""},{""ingredients"":""6 tablespoons superfine (castor) sugar""},{""ingredients"":""1 cup finely ground almonds""},{""ingredients"":""1 1/2 teaspoons finely ground almonds""},{""ingredients"":""1 1/3 cups confectioners' sugar""},{""ingredients"":""Add all ingredients to list""}]","20 m","15 m","1 h 35 m","[{""instructions"":""Preheat oven to 320 degrees F (160 degrees C). Line baking sheets with parchment paper or a silicon mat.""},{""instructions"":""Whisk egg whites in a clean metal mixing bowl until thick, about 5 minutes; whisk the superfine sugar into the egg whites until thick, glossy, and the mixture holds stiff peaks, 5 to 8 more minutes. Place a sieve over the bowl containing egg whites and sieve both amounts of almond meal and confectioners' sugar into the egg white mixture. Gently fold the almond meal and confectioners' sugar into the egg whites, retaining as much air as possible.""},{""instructions"":""Separate the meringue into separate bowls to flavor and color, if desired. Spoon the meringue into a piping bag fitted with a 3/8-inch tip. Pipe 1-inch disks of meringue onto the prepared baking sheets, leaving about 2 inches between cookies.""},{""instructions"":""Let the cookies stand at room temperature for about 15 minutes to form a thin skin. Pick up the baking sheets and let drop from several inches above the work surface to adhere cookies to the baking sheets.""},{""instructions"":""Bake in the preheated oven until tops are dry, about 15 minutes; let cool completely on the baking sheets before peeling off the parchment paper.""}]","Per Serving: 
            61 calories;
                    0.9 g fat;
                    11.4 g carbohydrates;
                    2.3 g protein;
                    0 mg cholesterol;
                    7 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","French Macaroons","64","Macaroon Recipes","47","8","2","4","3"
"1520398108-6","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Cookie Icing and Frosting","https://www.allrecipes.com/recipes/842/desserts/frostings-and-icings/cookie-frosting/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/236552/chocolate-chip-cookie-dough-frosting/?internalSource=hub%20recipe&referringId=842&referringContentType=recipe%20hub","[{""ingredients"":""3/4 cup packed light brown sugar""},{""ingredients"":""1/2 cup butter, at room temperature""},{""ingredients"":""1 1/4 cups all-purpose flour""},{""ingredients"":""1 teaspoon vanilla extract""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""1/4 cup heavy whipping cream, or to taste""},{""ingredients"":""1/2 cup miniature chocolate chips, or more to taste""},{""ingredients"":""Add all ingredients to list""}]","15 m","15 m","null","[{""instructions"":""Beat brown sugar and butter together in a bowl using an electric mixer on medium speed until smooth and creamy. Beat flour, vanilla extract, and salt into creamed butter until combined. Slowly mix cream into butter mixture until desired consistency is reached; fold in chocolate chips.""}]","Per Serving: 
            202 calories;
                    11.8 g fat;
                    23.6 g carbohydrates;
                    1.8 g protein;
                    27 mg cholesterol;
                    157 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Chocolate Chip Cookie Dough Frosting","31","Cookie Icing and Frosting Recipes","25","2","2","1","1"
"1520398566-175","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Snickerdoodles","https://www.allrecipes.com/recipes/16420/desserts/cookies/snickerdoodles/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/16164/snickerdoodles-v/?internalSource=staff%20pick&referringId=16420&referringContentType=recipe%20hub","[{""ingredients"":""1 cup shortening""},{""ingredients"":""1 1/2 cups white sugar""},{""ingredients"":""2 eggs""},{""ingredients"":""2 3/4 cups sifted all-purpose flour""},{""ingredients"":""1 teaspoon baking soda""},{""ingredients"":""2 teaspoons cream of tartar""},{""ingredients"":""1/2 teaspoon salt""},{""ingredients"":""2 tablespoons white sugar""},{""ingredients"":""2 teaspoons ground cinnamon""},{""ingredients"":""Add all ingredients to list""}]","null","null","null","[{""instructions"":""Preheat the oven to 375 degrees F (190 degrees C). Grease cookie sheets.""},{""instructions"":""In a medium bowl, cream together the shortening and sugar. Add eggs one at a time, mixing after each. Sift together the flour, baking soda, cream of tartar and salt; stir into the creamed mixture until well blended.""},{""instructions"":""In a small shallow bowl, stir together the 2 tablespoons of sugar with the cinnamon. Roll the dough into walnut sized balls and roll the balls in the sugar mixture. Place cookies 2 inches apart on the prepared cookie sheet. Bake for 8 to 10 minutes in the preheated oven. Cookies should be slightly golden at the edges. Remove to cool on wire racks.""}]","Per Serving: 
            250 calories;
                    12.1 g fat;
                    33.1 g carbohydrates;
                    2.7 g protein;
                    21 mg cholesterol;
                    143 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Snickerdoodles V","436","Snickerdoodle Recipes","325","65","22","13","11"
"1520398195-35","http://allrecipes.com/recipes/79/desserts/","Cookies","https://www.allrecipes.com/recipes/362/desserts/cookies/?internalSource=hub%20nav&referringId=79&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","Cake Mix Cookies","https://www.allrecipes.com/recipes/11977/desserts/cookies/cake-mix-cookies/?internalSource=hub%20nav&referringId=362&referringContentType=recipe%20hub&linkName=hub%20nav%20daughter&clickId=hub%20nav%202","","https://www.allrecipes.com/recipe/10921/easy-lemon-bars/?internalSource=hub%20recipe&referringId=11977&referringContentType=recipe%20hub","[{""ingredients"":""1 (18.25 ounce) package lemon cake mix with pudding""},{""ingredients"":""1 egg""},{""ingredients"":""1/2 cup vegetable oil""},{""ingredients"":""1 (8 ounce) package cream cheese""},{""ingredients"":""1/3 cup white sugar""},{""ingredients"":""1 tablespoon lemon juice""},{""ingredients"":""Add all ingredients to list""}]","20 m","30 m","50 m","[{""instructions"":""Preheat oven to 350 degrees F (175 degrees C).""},{""instructions"":""Pour cake mix into a large bowl. Add the egg and oil; mix until well blended. Mixture will be slightly dry. Reserve one cup for the topping, and pat the rest into an ungreased 9x13 inch pan.""},{""instructions"":""Bake for 15 minutes in the preheated oven. Set aside to cool. Meanwhile, in a medium bowl, beat the cream cheese with the sugar and lemon juice until smooth. Spread the mixture evenly over the baked crust. Crumble the reserved cake mix mixture over the top.""},{""instructions"":""Bake for an additional 15 minutes in the preheated oven, or until filling is set and the topping is lightly toasted. Cool before cutting into bars. Refrigerate leftovers.""}]","Per Serving: 
            284 calories;
                    17 g fat;
                    30.2 g carbohydrates;
                    3.6 g protein;
                    38 mg cholesterol;
                    296 mg sodium.
        Powered by the ESHA Research Database © 2018, ESHA Research, Inc. All Rights Reserved","Easy Lemon Bars","216","Cake Mix Cookie Recipes","135","46","19","6","10"
